ticker,precio,vcp_score,calidad_patron,num_contracciones,contracciones,profundidad_base,etapa_analisis,trend_score,volumen_score,breakout_potential,listo_comprar,sector,market_cap,razon
EOG,139.67999267578125,90.36363636363636,Excellent,22,21.4% → 6.6% → 7.7% → 4.6% → 7.6% → 6.2% → 6.0% → 5.5% → 3.5% → 8.0% → 5.3% → 8.7% → 6.4% → 5.0% → 3.1% → 6.0% → 11.1% → 5.2% → 6.4% → 5.2% → 7.3% → 3.5%,21.386396610015943,Stage 2 Strong,85.0,74.31818181818181,100.0,True,Energy,75790147584,VCP 22 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 21.4% | Stage 2 Strong
FFIV,289.75,89.82,Excellent,25,17.3% → 7.7% → 5.9% → 3.9% → 4.2% → 3.4% → 4.4% → 4.8% → 5.2% → 3.9% → 9.7% → 5.9% → 5.2% → 5.2% → 4.8% → 3.5% → 16.9% → 26.7% → 5.3% → 4.2% → 4.7% → 8.4% → 11.5% → 8.9% → 7.5%,26.72016046039316,Stage 2 Strong,85.0,71.6,100.0,True,Technology,16461014016,VCP 25 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 26.7% | Stage 2 Strong
APA,39.029998779296875,88.35714285714286,Excellent,7,14.8% → 6.0% → 9.9% → 7.9% → 6.1% → 8.0% → 7.4%,14.754685388783518,Stage 2 Strong,85.0,64.28571428571429,100.0,True,Energy,13787405312,VCP 7 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 14.8% | Stage 2 Strong
DELL,164.58999633789062,87.83571428571429,Excellent,14,10.7% → 12.9% → 8.0% → 3.3% → 7.9% → 10.8% → 8.1% → 30.7% → 14.2% → 5.8% → 12.5% → 10.5% → 8.1% → 13.2%,30.652075213138687,Stage 2 Strong,85.0,65.17857142857143,93.0,True,Technology,109072080896,VCP 14 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 30.7% | Stage 2 Strong
T,28.760000228881836,83.83333333333334,Excellent,21,13.5% → 6.5% → 4.3% → 7.4% → 3.9% → 3.2% → 3.6% → 10.6% → 3.9% → 4.9% → 5.1% → 13.3% → 3.4% → 8.2% → 8.1% → 3.4% → 8.4% → 6.0% → 3.7% → 6.0% → 4.9%,13.537724154727615,Stage 2 (Uptrend),65.0,71.66666666666667,100.0,True,Communication Services,203892572160,VCP 21 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 13.5% | Stage 2 (Uptrend)
EXE,107.63999938964844,81.15,Excellent,20,16.4% → 5.7% → 6.3% → 7.3% → 16.4% → 13.4% → 6.0% → 10.0% → 4.8% → 11.6% → 9.1% → 6.0% → 7.7% → 16.3% → 13.1% → 6.1% → 7.4% → 10.4% → 6.5% → 8.1%,16.377980709407442,Stage 2 (Uptrend),55.0,78.25,90.0,True,Energy,25876467712,VCP 20 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 16.4% | Stage 2 (Uptrend)
ABNB,132.58999633789062,80.33333333333334,Excellent,12,10.6% → 11.7% → 18.2% → 3.1% → 8.7% → 6.3% → 5.5% → 14.8% → 4.5% → 9.6% → 15.8% → 6.5%,18.15771369039183,Stage 2 (Uptrend),55.0,69.16666666666667,100.0,True,Consumer Cyclical,79489556480,VCP 12 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 18.2% | Stage 2 (Uptrend)
EME,744.6599731445312,77.6125,Excellent,8,27.4% → 4.6% → 8.4% → 6.7% → 5.0% → 8.1% → 6.9% → 13.5%,27.447860866460378,Stage 2 (Uptrend),55.0,69.0625,73.0,True,Industrials,33335347200,VCP 8 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 27.4% | Stage 2 (Uptrend)
AWK,135.72999572753906,75.625,Excellent,24,11.6% → 5.2% → 12.0% → 5.0% → 3.3% → 5.1% → 4.3% → 3.2% → 6.0% → 4.7% → 3.2% → 9.9% → 3.3% → 3.4% → 14.9% → 3.7% → 6.0% → 4.5% → 4.4% → 4.8% → 4.8% → 9.3% → 4.3% → 4.4%,14.927213277713822,Stage 1-2 Transition,40.0,68.125,100.0,False,Utilities,26495672320,VCP 24 contracciones (Excellent) | Base: 14.9% | Stage 1-2 Transition
GRMN,238.7100067138672,75.60714285714286,Excellent,14,11.6% → 3.5% → 4.3% → 4.6% → 3.3% → 6.4% → 26.5% → 3.1% → 5.0% → 3.5% → 6.6% → 3.9% → 4.7% → 8.1%,26.490509012998587,Stage 2 Early,40.0,78.03571428571429,80.0,False,Technology,45947101184,VCP 14 contracciones (Excellent) | Base: 26.5% | Stage 2 Early
DUK,127.33999633789062,75.03333333333333,Excellent,15,10.5% → 3.7% → 10.4% → 3.8% → 4.0% → 3.3% → 3.7% → 4.3% → 4.9% → 6.0% → 3.1% → 3.6% → 8.2% → 3.8% → 3.3%,10.537238431627834,Stage 2 Early,40.0,72.66666666666667,85.0,False,Utilities,99028606976,VCP 15 contracciones (Excellent) | Base: 10.5% | Stage 2 Early
EXC,47.16999816894531,74.42857142857143,Excellent,21,10.9% → 4.6% → 10.9% → 5.6% → 3.6% → 3.5% → 3.0% → 3.3% → 3.0% → 3.1% → 5.7% → 6.6% → 5.3% → 3.4% → 8.9% → 3.4% → 3.2% → 4.0% → 4.3% → 4.4% → 3.6%,10.936879438557355,Stage 2 Early,40.0,69.64285714285714,85.0,False,Utilities,48263168000,VCP 21 contracciones (Excellent) | Base: 10.9% | Stage 2 Early
CMS,74.62000274658203,74.33333333333334,Excellent,15,10.9% → 3.4% → 4.9% → 8.3% → 5.6% → 3.3% → 3.3% → 3.5% → 4.5% → 3.1% → 5.5% → 3.3% → 8.2% → 3.5% → 3.3%,10.856768452686314,Stage 2 Early,40.0,69.16666666666667,85.0,False,Utilities,22865127424,VCP 15 contracciones (Excellent) | Base: 10.9% | Stage 2 Early
ED,109.11000061035156,74.26190476190476,Excellent,21,10.1% → 4.1% → 13.1% → 4.3% → 4.3% → 4.5% → 5.0% → 3.7% → 3.7% → 5.4% → 6.3% → 3.3% → 3.4% → 7.4% → 4.5% → 5.9% → 3.2% → 3.6% → 4.1% → 4.1% → 4.6%,13.085341763126172,Stage 2 Early,40.0,68.80952380952381,85.0,False,Utilities,39421734912,VCP 21 contracciones (Excellent) | Base: 13.1% | Stage 2 Early
ADM,67.98999786376953,73.625,Excellent,4,10.5% → 4.3% → 5.1% → 7.1%,10.537640460522907,Stage 2 Early,40.0,70.625,75.0,False,Consumer Defensive,32716912640,VCP 4 contracciones (Excellent) | Base: 10.5% | Stage 2 Early
APD,278.6600036621094,73.16666666666667,Excellent,21,17.5% → 7.5% → 7.2% → 6.6% → 4.8% → 4.8% → 3.2% → 6.5% → 4.4% → 7.4% → 4.3% → 5.8% → 11.1% → 8.6% → 8.5% → 6.2% → 13.7% → 4.2% → 6.3% → 7.5% → 5.9%,17.496696758412654,Stage 2 Early,40.0,63.333333333333336,85.0,False,Basic Materials,62045323264,VCP 21 contracciones (Excellent) | Base: 17.5% | Stage 2 Early
EBAY,89.8499984741211,72.45,Excellent,10,12.8% → 6.5% → 8.5% → 8.2% → 21.8% → 10.0% → 5.2% → 7.5% → 19.8% → 6.9%,21.766217070879264,Stage 2 Early,40.0,64.75,75.0,False,Consumer Cyclical,40612200448,VCP 10 contracciones (Excellent) | Base: 21.8% | Stage 2 Early
DRI,195.97000122070312,71.97222222222223,Excellent,18,14.1% → 5.8% → 3.7% → 4.7% → 6.7% → 7.1% → 4.7% → 3.3% → 3.5% → 3.3% → 15.1% → 7.1% → 9.4% → 7.2% → 4.3% → 7.4% → 9.9% → 5.6%,15.10591280121548,Stage 1-2 Transition,30.0,72.36111111111111,85.0,False,Consumer Cyclical,22794008576,VCP 18 contracciones (Excellent) | Base: 15.1% | Stage 1-2 Transition
STZ,152.4600067138672,71.35,Excellent,20,10.2% → 4.1% → 3.7% → 4.8% → 19.1% → 3.3% → 7.0% → 3.6% → 6.1% → 24.7% → 7.1% → 11.1% → 4.6% → 4.2% → 11.5% → 6.2% → 6.4% → 3.7% → 11.2% → 4.5%,24.73612166958498,Stage 1-2 Transition,30.0,66.75,90.0,False,Consumer Defensive,26542352384,VCP 20 contracciones (Excellent) | Base: 24.7% | Stage 1-2 Transition
CL,85.1500015258789,70.67647058823529,Excellent,17,10.5% → 6.7% → 5.4% → 4.5% → 6.5% → 7.7% → 7.6% → 3.2% → 6.0% → 8.2% → 5.4% → 3.5% → 7.3% → 5.8% → 3.3% → 5.5% → 4.8%,10.488083495246576,Stage 1-2 Transition,30.0,73.38235294117646,70.0,False,Consumer Defensive,68251815936,VCP 17 contracciones (Excellent) | Base: 10.5% | Stage 1-2 Transition
CMCSA,29.010000228881836,70.29411764705883,Excellent,17,10.2% → 5.4% → 4.5% → 5.8% → 10.1% → 9.0% → 3.3% → 14.5% → 14.2% → 4.7% → 6.6% → 5.8% → 5.2% → 6.3% → 4.9% → 6.3% → 5.0%,14.48647776923002,Stage 1-2 Transition,30.0,71.47058823529412,70.0,False,Communication Services,105709379584,VCP 17 contracciones (Excellent) | Base: 14.5% | Stage 1-2 Transition
HCA,494.5799865722656,69.44444444444444,Excellent,9,11.2% → 3.4% → 4.6% → 5.3% → 9.1% → 4.5% → 5.4% → 4.6% → 4.6%,11.214278169460297,Stage 1-2 Transition,30.0,67.22222222222223,70.0,False,Healthcare,110599069696,VCP 9 contracciones (Excellent) | Base: 11.2% | Stage 1-2 Transition
CHD,94.6500015258789,69.19444444444444,Excellent,18,12.2% → 15.0% → 4.7% → 5.3% → 4.6% → 8.4% → 4.5% → 11.9% → 5.0% → 9.3% → 4.7% → 6.1% → 3.3% → 4.5% → 4.4% → 5.2% → 3.2% → 4.3%,15.002350528238512,Stage 1-2 Transition,30.0,65.97222222222223,70.0,False,Consumer Defensive,22420228096,VCP 18 contracciones (Excellent) | Base: 15.0% | Stage 1-2 Transition
AVB,163.27000427246094,68.47058823529412,Excellent,17,16.7% → 5.9% → 5.9% → 4.2% → 3.9% → 3.1% → 10.9% → 4.2% → 3.7% → 5.5% → 12.6% → 5.1% → 6.3% → 4.7% → 6.2% → 6.9% → 4.2%,16.662824564286712,Stage Unknown,15.0,77.3529411764706,85.0,False,Real Estate,23118206976,VCP 17 contracciones (Excellent) | Base: 16.7% | Stage Unknown
CHTR,216.61000061035156,68.07142857142857,Excellent,21,19.0% → 9.0% → 12.6% → 9.3% → 3.5% → 10.5% → 36.7% → 4.1% → 9.6% → 5.9% → 5.3% → 5.8% → 14.7% → 22.8% → 5.3% → 5.1% → 4.6% → 14.8% → 7.4% → 10.5% → 5.1%,36.67288274670501,Stage Unknown,15.0,75.35714285714286,85.0,False,Communication Services,27429660672,VCP 21 contracciones (Excellent) | Base: 36.7% | Stage Unknown
CCI,81.33000183105469,67.35714285714286,Excellent,21,16.4% → 5.8% → 9.8% → 4.7% → 3.0% → 4.3% → 3.4% → 9.5% → 11.5% → 12.7% → 4.1% → 4.1% → 12.7% → 6.7% → 4.6% → 7.7% → 6.8% → 8.0% → 11.8% → 6.6% → 5.3%,16.409972457746505,Stage Unknown,15.0,71.78571428571429,85.0,False,Real Estate,35465609216,VCP 21 contracciones (Excellent) | Base: 16.4% | Stage Unknown
AIG,75.08999633789062,67.15,Excellent,20,13.6% → 6.3% → 5.3% → 6.7% → 3.5% → 4.1% → 5.3% → 7.9% → 6.8% → 5.1% → 8.9% → 9.1% → 4.3% → 8.1% → 5.6% → 3.0% → 18.4% → 3.8% → 5.0% → 3.1%,18.375531335243934,Stage Unknown,15.0,70.75,85.0,False,Financial Services,40516763648,VCP 20 contracciones (Excellent) | Base: 18.4% | Stage Unknown
CDNS,292.5199890136719,67.0,Excellent,19,14.5% → 6.8% → 3.7% → 5.8% → 8.4% → 4.8% → 4.2% → 10.0% → 7.3% → 10.5% → 15.6% → 6.8% → 8.9% → 6.6% → 5.7% → 7.2% → 19.2% → 11.0% → 6.8%,19.201083050717983,Stage Unknown,15.0,75.0,75.0,False,Technology,80699097088,VCP 19 contracciones (Excellent) | Base: 19.2% | Stage Unknown
AFL,106.6500015258789,66.73684210526315,Excellent,19,14.3% → 5.8% → 6.5% → 3.9% → 4.8% → 4.0% → 6.0% → 6.4% → 4.5% → 3.9% → 7.4% → 6.0% → 4.8% → 3.0% → 4.9% → 4.1% → 6.3% → 5.6% → 5.5%,14.323501982411837,Stage Unknown,15.0,68.6842105263158,85.0,False,Financial Services,55896752128,VCP 19 contracciones (Excellent) | Base: 14.3% | Stage Unknown
BRK-B,479.9800109863281,66.35714285714286,Excellent,14,14.3% → 7.2% → 7.2% → 7.6% → 4.8% → 6.5% → 4.2% → 6.3% → 4.1% → 5.4% → 6.4% → 3.2% → 3.8% → 6.7%,14.267160277640887,Stage Unknown,15.0,71.78571428571429,75.0,False,Financial Services,1035254956032,VCP 14 contracciones (Excellent) | Base: 14.3% | Stage Unknown
FCX,54.939998626708984,66.3,Excellent,3,15.5% → 11.3% → 10.3%,15.524196738170264,Stage 1-2 Transition,20.0,82.5,38.0,False,Basic Materials,78959853568,VCP 3 contracciones (Excellent) | Base: 15.5% | Stage 1-2 Transition
